Equation,Dataset,Scale,Config_ID,Time_Mean_RMSE,Final_Step_RMSE,Time_Callable,RMSE
Perturbation,Chapala,1,nvec_20_cuda_upwind_False,,,0.03142023098189384,6.027993884579514e-06
Perturbation,Chapala,2,nvec_20_cpu_upwind_True,,,0.08186524000484496,3.552869151895822e-05
Perturbation,Chapala,2,nvec_20_cpu_upwind_False,,,0.08593377098441124,3.552869151895822e-05
Perturbation,Chapala,2,nvec_20_cuda_upwind_True,,,0.10536276904167607,3.55286915189574e-05
Perturbation,Chapala,2,nvec_20_cuda_upwind_False,,,0.11897920304909348,3.55286915189574e-05
Perturbation,Chapala,3,nvec_20_cpu_upwind_True,,,0.19728481298079714,9.738154864129588e-07
Perturbation,Chapala,3,nvec_20_cpu_upwind_False,,,0.19537612097337842,9.738154864129588e-07
Perturbation,Chapala,3,nvec_20_cuda_upwind_True,,,0.26222501299344003,9.738154864095321e-07
Perturbation,Chapala,3,nvec_20_cuda_upwind_False,,,0.26007020100951195,9.738154864095321e-07
Perturbation,Ladoga,1,nvec_20_cpu_upwind_True,,,0.051366758008953184,1.943524210377904e-05
Perturbation,Ladoga,1,nvec_20_cpu_upwind_False,,,0.03866108204238117,1.943524210377904e-05
Perturbation,Ladoga,1,nvec_20_cuda_upwind_True,,,0.06561403797240928,1.943524210378143e-05
Perturbation,Ladoga,1,nvec_20_cuda_upwind_False,,,0.05235990998335183,1.943524210378143e-05
Perturbation,Ladoga,2,nvec_20_cpu_upwind_True,,,0.1652220629621297,6.079617730109184e-06
Perturbation,Ladoga,2,nvec_20_cpu_upwind_False,,,0.1633980079786852,6.079617730109184e-06
Perturbation,Ladoga,2,nvec_20_cuda_upwind_True,,,0.20004654402146116,6.079617730122775e-06
Perturbation,Ladoga,2,nvec_20_cuda_upwind_False,,,0.2011560740065761,6.079617730122775e-06
Perturbation,Ladoga,3,nvec_20_cpu_upwind_True,,,0.3742969229933806,2.792387093473865e-06
Perturbation,Ladoga,3,nvec_20_cpu_upwind_False,,,0.37150950101204216,2.792387093473865e-06
Perturbation,Ladoga,3,nvec_20_cuda_upwind_True,,,0.5796834669890814,2.7923870934874177e-06
Perturbation,Ladoga,3,nvec_20_cuda_upwind_False,,,0.5659780039568432,2.7923870934874177e-06
Perturbation,Patzcuaro,1,nvec_20_cpu_upwind_True,,,0.01637219701660797,0.0005730216821290878
Perturbation,Patzcuaro,1,nvec_20_cpu_upwind_False,,,0.017516451014671475,0.0005730216821290878
Perturbation,Patzcuaro,1,nvec_20_cuda_upwind_True,,,0.03056110901525244,0.0005730216821290859
Perturbation,Patzcuaro,1,nvec_20_cuda_upwind_False,,,0.02720802294788882,0.0005730216821290859
Perturbation,Patzcuaro,2,nvec_20_cpu_upwind_True,,,0.07394141599070281,6.848995764142155e-05
Perturbation,Patzcuaro,2,nvec_20_cpu_upwind_False,,,0.0844620949937962,6.848995764142155e-05
Perturbation,Patzcuaro,2,nvec_20_cuda_upwind_True,,,0.0951213120133616,6.84899576414001e-05
Perturbation,Patzcuaro,2,nvec_20_cuda_upwind_False,,,0.09676592895993963,6.84899576414001e-05
Perturbation,Patzcuaro,3,nvec_20_cpu_upwind_True,,,0.15434236399596557,9.208495238598977e-05
Perturbation,Patzcuaro,3,nvec_20_cpu_upwind_False,,,0.15450939402217045,9.208495238598977e-05
Perturbation,Patzcuaro,3,nvec_20_cuda_upwind_True,,,0.1910558799863793,9.208495238602934e-05
Perturbation,Patzcuaro,3,nvec_20_cuda_upwind_False,,,0.19053004804300144,9.208495238602934e-05
Perturbation,Baikal,1,nvec_20_cpu_upwind_True,,,0.008996115007903427,7.7086106444623e-06
Perturbation,Baikal,1,nvec_20_cpu_upwind_False,,,0.016765378997661173,7.7086106444623e-06
Perturbation,Baikal,1,nvec_20_cuda_upwind_True,,,0.018869406019803137,7.708610644463088e-06
Perturbation,Baikal,1,nvec_20_cuda_upwind_False,,,0.04038625000976026,7.708610644463088e-06
Perturbation,Baikal,2,nvec_20_cpu_upwind_True,,,0.04173567797988653,1.1729385087832938e-05
Perturbation,Baikal,2,nvec_20_cpu_upwind_False,,,0.03951074701035395,1.1729385087832938e-05
Perturbation,Baikal,2,nvec_20_cuda_upwind_True,,,0.07296979200327769,1.1729385087833446e-05
Perturbation,Baikal,2,nvec_20_cuda_upwind_False,,,0.06016282696509734,1.1729385087833446e-05
Perturbation,Baikal,3,nvec_20_cpu_upwind_True,,,0.08905292098643258,1.4562692052954293e-05
Perturbation,Baikal,3,nvec_20_cpu_upwind_False,,,0.08017355296760798,1.4562692052954293e-05
Perturbation,Baikal,3,nvec_20_cuda_upwind_True,,,0.12055966298794374,1.4562692052952167e-05
Perturbation,Baikal,3,nvec_20_cuda_upwind_False,,,0.11906598601490259,1.4562692052952167e-05
Perturbation,Santa Maria del Oro,1,nvec_20_cpu_upwind_True,,,0.07640852901386097,0.0008366008482480674
Perturbation,Santa Maria del Oro,1,nvec_20_cpu_upwind_False,,,0.07631638704333454,0.0008366008482480674
Perturbation,Santa Maria del Oro,1,nvec_20_cuda_upwind_True,,,0.08121208095690235,0.0008366008482480998
Perturbation,Santa Maria del Oro,1,nvec_20_cuda_upwind_False,,,0.09020877600414678,0.0008366008482480998
Perturbation,Santa Maria del Oro,2,nvec_20_cpu_upwind_True,,,0.280259624007158,0.0003516482542536921
Perturbation,Santa Maria del Oro,2,nvec_20_cpu_upwind_False,,,0.27416453999467194,0.0003516482542536921
Perturbation,Santa Maria del Oro,2,nvec_20_cuda_upwind_True,,,0.39624003903009,0.0003516482542536913
Perturbation,Santa Maria del Oro,2,nvec_20_cuda_upwind_False,,,0.3996311840019189,0.0003516482542536913
